"ntd_id","Agency","City","State","max_organization_type","max_reporter_type","report_year","max_uace_code","max_uza_name","max_primary_uza_population","max_agency_voms","sum_vehicle_operations","sum_vehicle_maintenance","sum_facility_maintenance","sum_general_administration","sum_reduced_reporter_expenses","Total","sum_separate_report_amount"
"00001","King County, dba: King County Metro","Seattle","WA","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","80389","Seattle--Tacoma, WA","3544011","2352","520886350","176091067","58956700","253427520","0","1009361637","211251900"
"00002","Spokane Transit Authority","Spokane","WA","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","83764","Spokane, WA","447279","316","66640787","17778878","7716832","26465788","0","118602285","0"
"00003","Pierce County Transportation Benefit Area Authority, dba: Pierce Transit","Lakewood","WA","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","80389","Seattle--Tacoma, WA","3544011","416","64521556","15854245","4467660","33487615","0","118331076","56498662"
"00004","Confederated Tribes of the Colville Indian Reservation","Nespelem","WA","Tribe","Reduced Reporter","2024","00053","Washington Non-UZA","1895776","5","0","0","0","0","1112704","1112704","0"
"00005","City of Everett, dba: Everett Transit","Everett","WA","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","80389","Seattle--Tacoma, WA","3544011","50","14780335","4354496","1118431","7328135","0","27581397","0"
"00006","City of Yakima, dba: Yakima Transit","Yakima","WA","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","97507","Yakima, WA","133145","43","6660098","1438703","144793","2153088","0","10396682","0"
"00007","Lane Transit District","Eugene","OR","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","28117","Eugene, OR","270179","141","38512169","10017831","3242576","21043141","0","72815717","0"
"00008","Tri-County Metropolitan Transportation District of Oregon, dba: TriMet","Portland","OR","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","71317","Portland, OR--WA","2104238","804","337638387","115894851","71554819","191145463","0","716233520","14186475"
"00010","Klamath Tribes, dba: Quail Trail","Chiloquin","OR","Tribe","Reduced Reporter","2024","00041","Oregon Non-UZA","1553447","7","0","0","0","0","781342","781342","0"
"00012","Municipality of Anchorage","Anchorage","AK","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","02305","Anchorage, AK","249252","186","24561339","6064225","2690496","9017153","0","42333213","0"
"00014","Sitka Tribe of Alaska","Sitka","AK","Tribe","Reduced Reporter","2024","00002","Alaska Non-UZA","359299","3","0","0","0","0","1758749","1758749","0"
"00015","Snoqualmie Indian Tribe, dba: Snoqualmie Valley Transportation","Snoqualmie","WA","Tribe","Reduced Reporter","2024","00053","Washington Non-UZA","1895776","2","0","0","0","0","291879","291879","0"
"00016","City of Longview, dba: RiverCities Transit","Longview","WA","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","51283","Longview, WA--OR","69841","22","3785577","731560","273794","1361962","0","6152893","0"
"00017","Stillaguamish Tribe of Indians, dba: Stillaguamish Tribal Transportation Services","Arlington","WA","Tribe","Reduced Reporter","2024","00053","Washington Non-UZA","1895776","5","0","0","0","0","335656","335656","0"
"00018","Ben Franklin Transit","Richland","WA","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","44479","Kennewick--Richland--Pasco, WA","255401","294","32435122","6175997","1375397","11192961","0","51179477","0"
"00019","Intercity Transit","Olympia","WA","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","65242","Olympia--Lacey, WA","208157","243","41028624","8956761","4069278","15708525","0","69763188","0"
"00020","Kitsap County Public Transportation Benefit Area Authority, dba: Kitsap Transit","Bremerton","WA","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","09946","Bremerton, WA","224449","213","41963316","15018866","3489876","15229586","0","75701644","0"
"00021","Whatcom Transportation Authority","Bellingham","WA","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","06652","Bellingham, WA","128979","103","27509899","5070665","2827799","11641120","0","47049483","0"
"00022","City of Pocatello, dba: Pocatello Regional Transit","Pocatello","ID","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","70426","Pocatello, ID","72211","24","0","0","0","0","3131333","3131333","0"
"00023","City of Seattle, dba: Seattle Center Monorail","Seattle","WA","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","80389","Seattle--Tacoma, WA","3544011","8","1633772","1039877","243455","3126806","0","6043910","0"
"00024","Clark County Public Transportation Benefit Area Authority, dba: C-TRAN","Vancouver","WA","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","71317","Portland, OR--WA","2104238","167","41819025","12888432","3643457","18175709","0","76526623","0"
"00025","Salem Area Mass Transit District, dba: Salem-Keizer Transit or Cherriots","Salem","OR","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","78229","Salem, OR","268331","139","29966739","5412950","1508852","12099696","0","48988237","0"
"00028","County of Pierce, dba: Pierce County Ferry","Tacoma","WA","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","80389","Seattle--Tacoma, WA","3544011","2","4170752","1751958","184051","1574517","0","7681278","0"
"00029","Snohomish County Public Transportation Benefit Area Corporation, dba: Community Transit","Everett","WA","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","80389","Seattle--Tacoma, WA","3544011","563","95525417","24540105","10479724","48892407","0","179437653","23299448"
"00030","Chickaloon Native Village, dba: Chickaloon Area Transit System (Transit)","Palmer","AK","Tribe","Reduced Reporter","2024","00002","Alaska Non-UZA","359299","3","0","0","0","0","143856","143856","0"
"00031","Shoshone-Bannock Tribes","Fort Hall","ID","Tribe","Reduced Reporter","2024","00016","Idaho Non-UZA","836252","7","0","0","0","0","478054","478054","0"
"00033","Senior Services of Snohomish County, dba: Homage Senior Services","Lynnwood","WA","Private-Non-Profit Corporation","Reduced Reporter","2024","80389","Seattle--Tacoma, WA","3544011","11","0","0","0","0","1867963","1867963","0"
"00034","Rogue Valley Transportation District","Medford","OR","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","55981","Medford, OR","171640","52","12136337","2204877","772772","4903892","0","20017878","0"
"00035","Washington State Ferries","Olympia","WA","State Government Unit or Department of Transportation","Full Reporter","2024","80389","Seattle--Tacoma, WA","3544011","15","260778647","49576598","14384472","29086673","0","353826390","0"
"00036","Makah Tribal Council","Neah Bay","WA","Tribe","Reduced Reporter","2024","00053","Washington Non-UZA","1895776","1","0","0","0","0","196435","196435","0"
"00040","Central Puget Sound Regional Transit Authority, dba: Sound Transit","Seattle","WA","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","80389","Seattle--Tacoma, WA","3544011","429","233063606","90733439","124148755","154743463","0","602689263","0"
"00041","Alaska Railroad Corporation","Anchorage","AK","State Government Unit or Department of Transportation","Full Reporter","2024","02305","Anchorage, AK","249252","59","24293996","11127258","9429769","19443680","0","64294703","0"
"00043","Chelan Douglas PTBA, dba: Link Transit","Wenatchee","WA","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","93862","Wenatchee, WA","78142","82","15405767","3663123","1181554","6880591","0","27131035","0"
"00044","Skagit Transit","Burlington","WA","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","60490","Mount Vernon, WA","66825","79","11901647","2660562","1239390","5063200","0","20864799","0"
"00045","Fairbanks North Star Borough, dba: Metropolitan Area Commuter System","Fairbanks","AK","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","28549","Fairbanks, AK","71396","20","0","0","0","0","9372259","9372259","0"
"00046","City of Wilsonville, dba: South Metro Area Regional Transit","Wilsonville","OR","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","71317","Portland, OR--WA","2104238","19","3541194","1068384","24492","1905636","0","6539706","0"
"00047","City of Corvallis, dba: Corvallis Transit System","Corvallis","OR","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","20422","Corvallis, OR","66791","10","0","0","0","0","4379444","4379444","0"
"00048","City of Lewiston, dba: Lewiston Transit System","Lewiston","ID","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","49312","Lewiston, ID--WA","54798","5","0","0","0","0","1204160","1204160","0"
"00051","Asotin County Public Transportation Benefit Area","Clarkston","WA","Independent Public Agency or Authority of Transit Service","Reduced Reporter","2024","49312","Lewiston, ID--WA","54798","13","0","0","0","0","1835041","1835041","0"
"00053","Coeur d'Alene Tribe, dba: Citylink Transit","Plummer","ID","Tribe","Reduced Reporter","2024","18451","Coeur d'Alene, ID","121831","7","0","0","0","0","2395746","2395746","0"
"00055","Kootenai County, dba: Citylink North","Coeur D Alene","ID","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","18451","Coeur d'Alene, ID","121831","4","0","0","0","0","797204","797204","0"
"00057","Central Oregon Intergovernmental Council, dba: Cascades East Transit","Bend","OR","MPO, COG or Other Planning Agency","Full Reporter","2024","06868","Bend, OR","106988","90","5193539","1063093","115151","4971304","0","11343087","0"
"00058","City of Portland, dba: Portland Streetcar","Portland","OR","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","71317","Portland, OR--WA","2104238","14","13998705","3489511","2723506","7170561","0","27382283","0"
"00059","Josephine County, dba: Josephine Community Transit","Grants Pass","OR","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","34516","Grants Pass, OR","55724","18","0","0","0","0","3964283","3964283","0"
"00061","City of Albany, dba: Albany Transit System, Linn-Benton Loop","Albany","OR","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","00955","Albany, OR","62074","15","0","0","0","0","3411826","3411826","0"
"00063","City of Milton-Freewater","Milton Freewater","OR","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0","0","0","0","265830","265830","0"
"00064","Valley Transit","Walla Walla","WA","Independent Public Agency or Authority of Transit Service","Reduced Reporter","2024","91405","Walla Walla, WA--OR","50013","19","0","0","0","0","6747279","6747279","0"
"00065","Benton County, dba: Benton Area Transit","Corvallis","OR","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","20422","Corvallis, OR","66791","13","0","0","0","0","1455513","1455513","0"
"00085","Gulkana Village Council, dba: Soaring Eagle Transit","Gakona","AK","Tribe","Reduced Reporter","2024","00002","Alaska Non-UZA","359299","3","0","0","0","0","274280","274280","0"
